vendor_id,pickup_at,dropoff_at,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,cbd_congestion_fee
"Curb Mobility, LLC",2025-01-25T03:38:48Z,2025-01-25T03:57:18Z,3.0,11.76,Standard rate,N,Queens (JFK Airport),Queens (Middle Village),Cash,45.0,1.0,0.5,0.0,0.0,1.0,49.25,0.0,1.75,0.0
"Creative Mobile Technologies, LLC",2025-01-20T14:01:39Z,2025-01-20T14:09:10Z,1.0,1.2,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Upper East Side North),Credit card,7.9,2.5,0.5,2.4,0.0,1.0,14.3,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-30T12:24:39Z,2025-01-30T12:25:55Z,1.0,-2.5,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (Penn Station/Madison Sq West),No charge,3.7,0.0,0.5,0.0,0.0,1.0,8.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-25T18:47:24Z,2025-01-25T18:53:06Z,1.0,0.49,Standard rate,N,Brooklyn (Williamsburg (North Side)),Brooklyn (Williamsburg (North Side)),Credit card,6.5,0.0,0.5,1.6,0.0,1.0,9.6,0.0,0.0,0.0
"Curb Mobility, LLC",2025-01-06T18:52:17Z,2025-01-06T18:58:49Z,1.0,1.28,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Yorkville West),Credit card,8.6,2.5,0.5,3.77,0.0,1.0,18.87,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-14T00:54:52Z,2025-01-14T00:58:52Z,1.0,0.88,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Upper West Side South),Cash,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-07T19:24:57Z,2025-01-07T19:30:48Z,1.0,1.1,Standard rate,N,Manhattan (Flatiron),Manhattan (Meatpacking/West Village West),Credit card,7.9,2.5,0.5,3.03,0.0,1.0,18.18,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-09T22:21:42Z,2025-01-09T23:22:12Z,2.0,19.7,JFK,N,Queens (JFK Airport),Manhattan (Flatiron),Credit card,70.0,5.0,0.5,16.65,6.94,1.0,100.09,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-10T00:03:47Z,2025-01-10T00:23:35Z,4.0,5.4,Standard rate,N,Queens (JFK Airport),Queens (Jamaica),Cash,26.1,1.0,0.5,0.0,0.0,1.0,30.35,0.0,1.75,0.0
"Curb Mobility, LLC",2025-01-06T15:43:43Z,2025-01-06T16:10:30Z,1.0,11.6,Standard rate,N,Manhattan (Times Sq/Theatre District),Queens (LaGuardia Airport),Cash,46.4,5.0,0.5,0.0,6.94,1.0,63.09,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-17T17:52:10Z,2025-01-17T18:11:25Z,1.0,4.2,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (East Village),Credit card,23.3,2.5,0.5,6.11,0.0,1.0,36.66,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-01T14:40:23Z,2025-01-01T14:49:16Z,1.0,1.63,Standard rate,N,Manhattan (Kips Bay),Manhattan (Greenwich Village North),Credit card,10.7,0.0,0.5,1.0,0.0,1.0,15.7,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-30T20:31:13Z,2025-01-30T20:38:40Z,1.0,1.44,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (West Chelsea/Hudson Yards),Credit card,9.3,1.0,0.5,4.51,0.0,1.0,19.56,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-02T10:55:56Z,2025-01-02T11:30:03Z,2.0,19.08,JFK,N,Queens (JFK Airport),Manhattan (Upper East Side North),Cash,70.0,0.0,0.5,0.0,6.94,1.0,82.69,2.5,1.75,0.0
"Creative Mobile Technologies, LLC",2025-01-30T08:33:08Z,2025-01-30T08:50:19Z,1.0,2.5,Standard rate,N,Manhattan (Clinton East),Manhattan (Lenox Hill West),Cash,14.9,3.25,0.5,0.0,0.0,1.0,19.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-22T09:58:37Z,2025-01-22T10:06:21Z,1.0,0.71,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (Union Sq),Credit card,8.6,0.0,0.5,2.67,0.0,1.0,16.02,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-19T05:36:47Z,2025-01-19T05:56:24Z,1.0,4.8,Standard rate,N,Manhattan (Greenwich Village South),Manhattan (Upper West Side South),Cash,20.5,4.25,0.5,0.0,0.0,1.0,26.25,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-18T14:37:17Z,2025-01-18T14:48:25Z,1.0,1.4,Standard rate,N,Manhattan (East Village),Manhattan (UN/Turtle Bay South),Credit card,10.7,3.25,0.5,2.0,0.0,1.0,17.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-25T07:09:51Z,2025-01-25T07:41:14Z,1.0,20.58,JFK,N,Manhattan (Sutton Place/Turtle Bay North),Queens (JFK Airport),Credit card,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-07T14:07:32Z,2025-01-07T14:17:49Z,1.0,1.79,Standard rate,N,Manhattan (Midtown North),Manhattan (Upper West Side North),Credit card,12.1,0.0,0.5,3.37,0.0,1.0,20.22,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T18:33:19Z,2025-01-31T18:42:26Z,,1.24,Unknown Ratecode,,Manhattan (Morningside Heights),Manhattan (Manhattanville),Flex Fare trip,9.81,0.0,0.5,0.0,0.0,1.0,11.31,,,0.0
"Curb Mobility, LLC",2025-01-17T08:34:27Z,2025-01-17T08:43:06Z,,1.12,Unknown Ratecode,,Manhattan (Upper East Side North),Manhattan (Yorkville East),Flex Fare trip,-4.0,0.0,0.5,0.0,0.0,1.0,3.0,,,0.0
"Curb Mobility, LLC",2025-01-11T14:38:02Z,2025-01-11T14:54:09Z,1.0,2.05,Standard rate,N,Manhattan (Lincoln Square West),Manhattan (Midtown East),Credit card,15.6,0.0,0.5,5.09,0.0,1.0,25.44,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-24T14:15:19Z,2025-01-24T14:23:30Z,,1.05,Unknown Ratecode,,Manhattan (Midtown Center),Manhattan (Lincoln Square East),Flex Fare trip,-4.75,0.0,0.5,0.0,0.0,1.0,4.04,,,0.75
"Creative Mobile Technologies, LLC",2025-01-13T07:41:03Z,2025-01-13T07:57:10Z,1.0,2.3,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Lenox Hill West),Credit card,15.6,2.5,0.5,3.9,0.0,1.0,23.5,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-23T09:20:34Z,2025-01-23T09:39:46Z,1.0,2.3,Standard rate,N,Manhattan (Kips Bay),Manhattan (Lower East Side),Credit card,18.4,0.0,0.5,2.32,0.0,1.0,25.47,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-17T00:24:32Z,2025-01-17T00:34:02Z,,2.04,Unknown Ratecode,,Manhattan (Greenwich Village North),Manhattan (Penn Station/Madison Sq West),Flex Fare trip,10.95,0.0,0.5,0.0,0.0,1.0,15.7,,,0.75
"Curb Mobility, LLC",2025-01-22T13:42:40Z,2025-01-22T13:47:14Z,2.0,0.96,Standard rate,N,Manhattan (Manhattan Valley),Manhattan (Upper West Side South),Credit card,7.2,0.0,0.5,2.24,0.0,1.0,13.44,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-08T15:08:06Z,2025-01-08T15:23:29Z,2.0,2.45,Standard rate,N,Manhattan (Murray Hill),Manhattan (Meatpacking/West Village West),Credit card,15.6,0.0,0.5,4.07,0.0,1.0,24.42,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-29T16:22:14Z,2025-01-29T16:37:20Z,2.0,1.66,Standard rate,N,Manhattan (Union Sq),Manhattan (East Chelsea),Credit card,14.2,2.5,0.5,4.29,0.0,1.0,25.74,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-17T14:23:22Z,2025-01-17T14:28:07Z,1.0,0.82,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Upper East Side North),Credit card,6.5,0.0,0.5,2.1,0.0,1.0,12.6,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-25T01:33:55Z,2025-01-25T01:44:20Z,1.0,2.56,Standard rate,N,Manhattan (East Chelsea),Manhattan (Murray Hill),Credit card,14.2,1.0,0.5,3.0,0.0,1.0,22.95,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-25T13:45:07Z,2025-01-25T14:02:06Z,3.0,1.23,Standard rate,N,Manhattan (Midtown North),Manhattan (Garment District),Cash,14.9,0.0,0.5,0.0,0.0,1.0,19.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-22T08:27:43Z,2025-01-22T08:45:42Z,1.0,2.13,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Yorkville East),Credit card,17.0,0.0,0.5,2.1,0.0,1.0,23.1,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-27T14:22:21Z,2025-01-27T14:29:06Z,1.0,0.4,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Midtown Center),Credit card,7.2,0.0,0.5,2.39,0.0,1.0,14.34,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-17T18:47:07Z,2025-01-17T18:59:58Z,1.0,2.34,Standard rate,N,Manhattan (Greenwich Village South),Manhattan (West Chelsea/Hudson Yards),Credit card,14.9,2.5,0.5,0.1,0.0,1.0,22.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-04T13:01:21Z,2025-01-04T13:40:01Z,1.0,11.01,Standard rate,N,Manhattan (Midtown North),Queens (LaGuardia Airport),Credit card,53.4,5.0,0.5,13.87,6.94,1.0,83.21,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-30T16:20:15Z,2025-01-30T16:35:40Z,1.0,1.44,Standard rate,N,Manhattan (Midtown Center),Manhattan (Lenox Hill West),Credit card,14.2,2.5,0.5,4.29,0.0,1.0,25.74,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-07T12:27:53Z,2025-01-07T12:52:31Z,1.0,1.5,Standard rate,N,Manhattan (Gramercy),Manhattan (East Chelsea),Credit card,19.8,3.25,0.5,6.15,0.0,1.0,30.7,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-27T19:25:38Z,2025-01-27T19:38:36Z,,3.1,Unknown Ratecode,,Manhattan (UN/Turtle Bay South),Manhattan (Greenwich Village South),Flex Fare trip,-15.0,0.0,0.5,0.0,0.0,1.0,-18.5,,,0.75
"Curb Mobility, LLC",2025-01-09T15:45:28Z,2025-01-09T15:53:08Z,1.0,1.0,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Manhattan Valley),Credit card,9.3,0.0,0.5,2.66,0.0,1.0,15.96,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-17T14:25:46Z,2025-01-17T14:30:15Z,1.0,0.59,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Upper West Side North),Credit card,6.5,0.0,0.5,1.5,0.0,1.0,12.0,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-06T18:46:49Z,2025-01-06T18:52:23Z,1.0,0.23,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Midtown Center),Credit card,6.5,2.5,0.5,2.75,0.0,1.0,16.5,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-12T18:46:08Z,2025-01-12T18:50:54Z,1.0,1.14,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (Sutton Place/Turtle Bay North),Credit card,7.2,0.0,0.5,2.24,0.0,1.0,13.44,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-27T07:34:56Z,2025-01-27T07:39:04Z,1.0,0.95,Standard rate,N,Manhattan (Central Harlem),Manhattan (Upper West Side North),Credit card,6.5,0.0,0.5,2.1,0.0,1.0,12.6,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-07T21:04:13Z,2025-01-07T21:09:11Z,1.0,0.89,Standard rate,N,Manhattan (Morningside Heights),Manhattan (Upper West Side North),Credit card,7.2,1.0,0.5,1.94,0.0,1.0,11.64,0.0,0.0,0.0
"Curb Mobility, LLC",2025-01-15T09:19:17Z,2025-01-15T10:01:29Z,2.0,7.65,Standard rate,N,Manhattan (Central Park),Queens (LaGuardia Airport),Cash,45.7,5.0,0.5,0.0,0.0,1.0,55.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T08:39:31Z,2025-01-16T08:52:46Z,,1.71,Unknown Ratecode,,Manhattan (Union Sq),Manhattan (West Chelsea/Hudson Yards),Flex Fare trip,13.1,0.0,0.5,0.0,0.0,1.0,17.85,,,0.75
"Curb Mobility, LLC",2025-01-04T17:24:39Z,2025-01-04T17:47:57Z,1.0,8.11,Standard rate,N,Manhattan (Central Park),Manhattan (Inwood),Credit card,36.6,0.0,0.5,6.09,0.0,1.0,46.69,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-24T08:27:18Z,2025-01-24T08:35:43Z,,1.11,Unknown Ratecode,,Manhattan (Stuy Town/Peter Cooper Village),Manhattan (Gramercy),Flex Fare trip,10.45,0.0,0.5,0.0,0.0,1.0,15.2,,,0.75
"Curb Mobility, LLC",2025-01-31T17:09:36Z,2025-01-31T17:29:26Z,,3.69,Unknown Ratecode,,Manhattan (Yorkville East),Manhattan (Gramercy),Flex Fare trip,18.86,0.0,0.5,0.0,0.0,1.0,23.61,,,0.75
"Curb Mobility, LLC",2025-01-21T18:19:34Z,2025-01-21T18:24:09Z,,0.01,Unknown Ratecode,,Manhattan (West Chelsea/Hudson Yards),Manhattan (Clinton East),Flex Fare trip,6.2,0.0,0.5,0.0,0.0,1.0,10.95,,,0.75
"Curb Mobility, LLC",2025-01-08T12:03:47Z,2025-01-08T12:06:08Z,1.0,0.51,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Upper West Side North),Credit card,5.1,0.0,0.5,2.73,0.0,1.0,11.83,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-25T11:37:28Z,2025-01-25T11:54:30Z,5.0,3.14,Standard rate,N,Manhattan (East Harlem South),Manhattan (Sutton Place/Turtle Bay North),Cash,19.8,0.0,0.5,0.0,0.0,1.0,24.55,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-17T17:04:22Z,2025-01-17T17:20:34Z,1.0,1.9,Standard rate,N,Manhattan (Meatpacking/West Village West),Manhattan (Midtown South),Credit card,14.9,5.75,0.5,4.45,0.0,1.0,26.6,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-16T21:10:56Z,2025-01-16T21:15:50Z,1.0,0.5,Standard rate,N,Manhattan (Union Sq),Manhattan (Greenwich Village North),Credit card,6.5,4.25,0.5,2.0,0.0,1.0,14.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T11:00:04Z,2025-01-08T11:04:38Z,1.0,0.66,Standard rate,N,Manhattan (Flatiron),Manhattan (East Chelsea),Credit card,6.5,0.0,0.5,2.25,0.0,1.0,13.5,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-21T19:52:41Z,2025-01-21T20:01:15Z,1.0,1.15,Standard rate,N,Manhattan (Flatiron),Manhattan (Stuy Town/Peter Cooper Village),Credit card,9.3,2.5,0.5,3.31,0.0,1.0,19.86,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-16T22:16:06Z,2025-01-16T22:31:01Z,1.0,6.3,Standard rate,N,Manhattan (Financial District North),Manhattan (Yorkville East),Credit card,26.8,4.25,0.5,3.0,0.0,1.0,35.55,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-02T18:58:08Z,2025-01-02T19:14:44Z,1.0,1.97,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (East Village),Credit card,16.3,2.5,0.5,4.56,0.0,1.0,27.36,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-20T17:59:32Z,2025-01-20T18:10:20Z,1.0,1.8,Standard rate,N,Manhattan (Yorkville West),Manhattan (Upper West Side South),Credit card,12.1,0.0,0.5,3.22,0.0,1.0,19.32,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-24T18:07:28Z,2025-01-24T18:39:09Z,1.0,9.88,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Upper West Side South),Credit card,42.9,7.5,0.5,12.62,6.94,1.0,75.71,2.5,1.75,0.0
"Curb Mobility, LLC",2025-01-26T02:23:58Z,2025-01-26T02:27:46Z,,0.64,Unknown Ratecode,,Manhattan (Flatiron),Manhattan (West Village),Flex Fare trip,7.05,0.0,0.5,0.0,0.0,1.0,11.8,,,0.75
"Creative Mobile Technologies, LLC",2025-01-13T22:38:57Z,2025-01-13T22:47:21Z,1.0,1.8,Standard rate,N,Manhattan (West Village),Manhattan (Times Sq/Theatre District),Credit card,10.0,4.25,0.5,3.15,0.0,1.0,18.9,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-13T07:18:16Z,2025-01-13T07:30:34Z,1.0,1.7,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (East Harlem South),Credit card,13.5,2.5,0.5,4.35,0.0,1.0,21.85,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-18T01:47:35Z,2025-01-18T01:55:07Z,,1.66,Unknown Ratecode,,Manhattan (Greenwich Village North),Manhattan (West Chelsea/Hudson Yards),Flex Fare trip,9.5,0.0,0.5,0.0,0.0,1.0,14.25,,,0.75
"Creative Mobile Technologies, LLC",2025-01-19T14:37:33Z,2025-01-19T14:45:09Z,1.0,1.4,Standard rate,N,Manhattan (Yorkville West),Manhattan (Sutton Place/Turtle Bay North),Credit card,9.3,3.25,0.5,2.8,0.0,1.0,16.85,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-18T09:58:53Z,2025-01-18T10:02:30Z,1.0,1.0,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Lincoln Square East),Cash,6.5,2.5,0.5,0.0,0.0,1.0,10.5,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-30T15:48:58Z,2025-01-30T15:56:34Z,1.0,1.0,Standard rate,N,Manhattan (Midtown East),Manhattan (Upper East Side South),Credit card,8.6,3.25,0.5,3.0,0.0,1.0,16.35,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-15T11:44:29Z,2025-01-15T11:50:35Z,1.0,0.56,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Midtown East),Credit card,7.2,0.0,0.5,2.39,0.0,1.0,14.34,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T12:43:41Z,2025-01-16T13:02:59Z,1.0,1.19,Standard rate,N,Manhattan (East Chelsea),Manhattan (Clinton East),Credit card,17.0,0.0,0.5,0.0,0.0,1.0,21.75,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-13T12:32:43Z,2025-01-13T12:47:06Z,,1.79,Unknown Ratecode,,Manhattan (Hudson Sq),Manhattan (World Trade Center),Flex Fare trip,10.84,0.0,0.5,0.0,0.0,1.0,15.59,,,0.75
"Curb Mobility, LLC",2025-01-21T15:34:46Z,2025-01-21T15:49:38Z,1.0,1.79,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Upper East Side North),Credit card,-15.0,0.0,0.5,3.0,0.0,1.0,-18.5,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-31T17:47:07Z,2025-01-31T18:00:41Z,3.0,1.63,Standard rate,N,Manhattan (UN/Turtle Bay South),Manhattan (Midtown Center),Credit card,13.5,2.5,0.5,4.15,0.0,1.0,24.9,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-10T00:32:09Z,2025-01-10T00:42:42Z,2.0,3.75,Standard rate,N,Queens (LaGuardia Airport),Queens (Flushing),Cash,17.0,6.0,0.5,0.0,0.0,1.0,26.25,0.0,1.75,0.0
"Curb Mobility, LLC",2025-01-08T11:05:06Z,2025-01-08T11:32:47Z,1.0,3.17,Standard rate,N,Manhattan (UN/Turtle Bay South),Manhattan (Lincoln Square West),Credit card,24.7,0.0,0.5,5.89,0.0,1.0,35.34,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-02T07:53:04Z,2025-01-02T07:59:20Z,1.0,1.0,Standard rate,N,Manhattan (Midtown North),Manhattan (Lincoln Square East),Credit card,7.9,2.5,0.5,2.35,0.0,1.0,14.25,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-30T10:21:01Z,2025-01-30T10:30:08Z,,1.15,Unknown Ratecode,,Manhattan (Yorkville East),Manhattan (Upper East Side North),Flex Fare trip,12.02,0.0,0.5,0.0,0.0,1.0,16.02,,,0.0
"Curb Mobility, LLC",2025-01-30T21:54:47Z,2025-01-30T22:15:54Z,2.0,2.92,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (Upper West Side South),Credit card,19.8,1.0,0.5,2.0,0.0,1.0,27.55,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T19:01:58Z,2025-01-16T19:09:26Z,1.0,1.05,Standard rate,N,Manhattan (East Chelsea),Manhattan (Clinton East),Credit card,8.6,2.5,0.5,3.17,0.0,1.0,19.02,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-10T18:22:35Z,2025-01-10T18:22:54Z,2.0,0.06,JFK,N,Manhattan (Clinton East),Manhattan (Clinton East),Cash,70.0,5.0,0.5,0.0,0.0,1.0,79.75,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T16:01:36Z,2025-01-08T16:09:32Z,2.0,1.45,Standard rate,N,Manhattan (Midtown North),Manhattan (Upper East Side South),Credit card,10.0,0.0,0.5,2.95,0.0,1.0,17.7,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-26T11:08:32Z,2025-01-26T11:18:37Z,,1.4,Unknown Ratecode,,Manhattan (Gramercy),Manhattan (East Village),Flex Fare trip,7.7,0.0,0.5,0.0,0.0,1.0,12.45,,,0.75
"Curb Mobility, LLC",2025-01-11T21:52:15Z,2025-01-11T21:55:50Z,2.0,0.68,Standard rate,N,Manhattan (Yorkville West),Manhattan (Upper East Side North),Credit card,5.8,1.0,0.5,1.62,0.0,1.0,12.42,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-01T02:48:00Z,2025-01-01T03:05:03Z,,4.8,Unknown Ratecode,,Manhattan (East Village),Manhattan (Yorkville West),Flex Fare trip,35.96,0.0,0.5,0.0,0.0,1.0,39.96,,,0.0
"Curb Mobility, LLC",2025-01-29T11:40:03Z,2025-01-29T11:57:09Z,1.0,2.04,Standard rate,N,Manhattan (Kips Bay),Manhattan (West Village),Credit card,15.6,0.0,0.5,4.07,0.0,1.0,24.42,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T13:53:29Z,2025-01-31T14:09:39Z,1.0,2.63,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Morningside Heights),Cash,17.7,0.0,0.5,0.0,0.0,1.0,21.7,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-19T17:45:17Z,2025-01-19T17:59:46Z,,1.87,Unknown Ratecode,,Manhattan (Greenwich Village North),Manhattan (Two Bridges/Seward Park),Flex Fare trip,13.59,0.0,0.5,0.0,0.0,1.0,18.34,,,0.75
"Creative Mobile Technologies, LLC",2025-01-03T18:22:02Z,2025-01-03T18:45:06Z,1.0,6.6,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (Hamilton Heights),Credit card,31.7,5.0,0.5,9.55,0.0,1.0,47.75,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-13T23:35:32Z,2025-01-13T23:42:16Z,,0.9,Unknown Ratecode,,Brooklyn (Bensonhurst East),Brooklyn (Bensonhurst West),Flex Fare trip,5.91,0.0,0.5,0.0,0.0,1.0,7.41,,,0.0
"Curb Mobility, LLC",2025-01-04T17:38:49Z,2025-01-04T17:47:13Z,1.0,1.25,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Upper East Side North),Credit card,10.0,0.0,0.5,2.8,0.0,1.0,16.8,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-01T01:17:11Z,2025-01-01T01:38:18Z,1.0,4.0,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Midtown South),Credit card,24.0,3.5,0.5,5.8,0.0,1.0,34.8,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-16T23:13:36Z,2025-01-16T23:20:44Z,1.0,1.9,Standard rate,N,Manhattan (Meatpacking/West Village West),Manhattan (West Chelsea/Hudson Yards),Credit card,10.7,1.0,0.5,3.14,0.0,1.0,19.59,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-10T02:04:51Z,2025-01-10T02:10:47Z,1.0,1.25,Standard rate,N,Manhattan (TriBeCa/Civic Center),Manhattan (Financial District North),Credit card,7.9,1.0,0.5,2.73,0.0,1.0,16.38,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-18T20:53:30Z,2025-01-18T21:00:47Z,,0.97,Unknown Ratecode,,Manhattan (Upper West Side North),Manhattan (Morningside Heights),Flex Fare trip,15.65,0.0,0.5,0.0,0.0,1.0,20.4,,,0.75
"Curb Mobility, LLC",2025-01-21T19:07:19Z,2025-01-21T19:17:56Z,,1.41,Unknown Ratecode,,Manhattan (Midtown South),Manhattan (Kips Bay),Flex Fare trip,8.58,0.0,0.5,0.0,0.0,1.0,13.33,,,0.75
"Creative Mobile Technologies, LLC",2025-01-29T01:02:02Z,2025-01-29T01:17:49Z,,4.7,Unknown Ratecode,,Queens (Sunnyside),Queens (Steinway),Flex Fare trip,15.93,0.0,0.5,0.0,0.0,1.0,17.43,,,0.0
"Curb Mobility, LLC",2025-01-20T14:35:17Z,2025-01-20T14:43:46Z,2.0,1.33,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Manhattan Valley),Credit card,10.7,0.0,0.5,1.0,0.0,1.0,15.7,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-14T22:59:39Z,2025-01-14T23:46:12Z,2.0,18.01,Standard rate,N,Queens (JFK Airport),Brooklyn (South Williamsburg),Cash,75.1,1.0,0.5,0.0,0.0,1.0,79.35,0.0,1.75,0.0
"Creative Mobile Technologies, LLC",2025-01-14T11:10:28Z,2025-01-14T11:33:06Z,1.0,3.4,Standard rate,N,Manhattan (Upper West Side North),Manhattan (Lenox Hill East),Credit card,21.2,3.25,0.5,3.0,0.0,1.0,28.95,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-21T17:53:13Z,2025-01-21T17:59:32Z,,0.88,Unknown Ratecode,,Manhattan (SoHo),Manhattan (Greenwich Village South),Flex Fare trip,4.8,0.0,0.5,0.0,0.0,1.0,9.55,,,0.75
"Curb Mobility, LLC",2025-01-24T23:34:02Z,2025-01-24T23:51:18Z,,4.23,Unknown Ratecode,,Brooklyn (Crown Heights North),Brooklyn (Flatlands),Flex Fare trip,21.2,0.0,0.5,0.0,0.0,1.0,22.7,,,0.0
"Curb Mobility, LLC",2025-01-28T18:02:35Z,2025-01-28T18:16:07Z,1.0,0.78,Standard rate,N,Manhattan (Upper East Side South),Manhattan (UN/Turtle Bay South),Credit card,12.1,2.5,0.5,1.94,0.0,1.0,21.29,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-01T01:52:36Z,2025-01-01T02:31:42Z,1.0,5.1,Standard rate,N,Manhattan (Little Italy/NoLiTa),Manhattan (Lincoln Square East),Credit card,33.8,3.5,0.5,7.75,0.0,1.0,46.55,2.5,0.0,0.0
